ResponseId,EndDate,team_name,themes,Issue,Month.1,Month.2,Month.3,Month.4,Month.5,Month.6,Month.7,Month.8,Month.9,Month.10,Month.11,Month.12,confidence,subexpert,pub,basis,numpred_4,covidcondyn,covidmeas,covidest_1,covidest_2,covidest_3,covidest_4,covidest_5,covidest_6,covidest_7,covidest_8,covidest_9,covidest_10,covidest_11,covidest_12,Method
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",lifesat,6.24,6.26,6.22,6.24,6.27,6.26,6.28,6.32,6.3,6.35,6.36,6.34,3,5,2,"1,2",1,1,4,55000,65000,68000,70000,72000,73000,73500,74000,75000,75500,76000,76500,Intuition/Theory
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",posaffect,-1.2,-1.1,-1.3,-0.97,-0.95,-1.1,-0.95,-1.2,-0.9,-1.1,-0.8,-1.2,2,2,2,1,1,1,4,55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,Intuition/Theory
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",negaffect,0.77,0.86,0.8,0.91,1.03,0.9,0.96,0.99,0.87,0.96,1.06,0.95,2,2,2,1,1,1,4,55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,77500,78000,Intuition/Theory
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",polar,75,80,77,79,81,75,82,85,80,77,83,85,2,2,2,1,1,1,4,55000,65000,68000,72000,75000,76000,76500,77000,77500,78000,78500,79000,Intuition/Theory
R_1IgsGFMZYhVCPXU,4/23/2020 10:54,ms607,"1,2,4,5",iasian,0.6,0.55,0.48,0.52,0.35,0.4,0.52,0.41,0.49,0.39,0.49,0.52,3,2,2,1,1,1,4,55000,65000,68000,72000,74000,75000,75500,76000,76500,77000,775000,78000,Intuition/Theory
R_3Opn01NyerOFmAe,4/24/2020 18:12,Forecasting Team 1,1,lifesat,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,6,2,"1,2",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_3D5hhCqsvLNisbo,4/26/2020 0:47,ab,3,ideolrep,40,40,40,40,40,40,40,40,40,40,40,40,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_3D5hhCqsvLNisbo,4/26/2020 0:47,ab,3,ideoldem,42,42,42,42,42,42,42,42,42,42,42,42,1,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",lifesat,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,6.362,6.387,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",posaffect,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,-0.973,-0.972,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",negaffect,0.973,0.955,0.973,0.955,0.973,0.955,0.973,0.955,0.973,0.955,0.973,0.955,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",ideolrep,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,36.7,36.5,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",ideoldem,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,43.3,42.8,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",polar,78.3,78,78.3,78,78.3,78,78.3,78,78.3,78,78.3,78,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",iasian,0.407,0.38,0.407,0.38,0.407,0.38,0.407,0.38,0.407,0.38,0.407,0.38,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",easian,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,-0.034,-0.044,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",iafric,0.33,0.304,0.33,0.304,0.33,0.304,0.33,0.304,0.33,0.304,0.33,0.304,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",eafric,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,-0.042,-0.039,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",igend,0.381,0.359,0.381,0.359,0.381,0.359,0.381,0.359,0.381,0.359,0.381,0.359,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2UgadrXE2OiyQIB,4/27/2020 3:59,TheMets,"1,2,3,4,5,6,7,8,9,10",egend,0.872,0.811,0.872,0.811,0.872,0.811,0.872,0.811,0.872,0.811,0.872,0.811,3,2,2,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2ZZyRqUPQ41Rcxl,4/27/2020 9:16,AhamBrahamasmi,"1,2,3,4,5,6,7,8,9,10",lifesat,5,7,6,7,6,4,5,4,5,6,6,5,5,1,2,1,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_22JuVmmGmu5qWDO,4/27/2020 17:02,C-Team,1,lifesat,6.361402543,6.361402543,6.361402543,6.361402543,6.361402543,6.361402543,6.361402543,6.361402543,6.361402543,6.361402543,6.361402543,6.361402543,2,6,1,"1,4",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_sRueTBbGYDURxcd,4/28/2020 9:57,Cascade Institute,"1,3,4",lifesat,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,2,5,2,"1,4",2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2D7zcSqrVUj0sRy,4/30/2020 11:30,1859 revised,"9,10",igend,0.451177879,0.469998446,0.487400661,0.423151182,0.31531267,0.343069661,0.33070048,0.41393489,0.346445309,0.325965101,0.360973853,0.340531937,3,2,2,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2D7zcSqrVUj0sRy,4/30/2020 11:30,1859 revised,"9,10",egend,1.044475889,1.099706219,1.119752566,0.988002172,0.749377594,0.7869409,0.735167352,0.875315333,0.792546715,0.729221432,0.82819675,0.801135271,2,2,2,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_WASIBllES8jF0t3,4/30/2020 13:55,R4VST9 - Revised,5,iasian,0.55,0.56,0.57,0.58,0.59,0.6,0.65,0.5,0.35,0.33,0.32,0.31,5,4,1,"1,5",NA,1,5,1200000,1350000,1500000,1600000,1700000,1800000,2000000,2300000,2600000,2900000,3100000,3000000,Mixed
R_1C41iSRHRcK8H7i,5/1/2020 14:30,Mr Muddle ,6,easian,0.2,0.25,0.28,0.29,0.25,0.3,0.32,0.25,0.22,0.2,0.18,0.15,5,5,2,"1,2",3,1,5,2000000,3000000,4000000,4500000,5000000,5250000,5500000,5750000,5850000,5900000,5901000,5901000,Intuition/Theory
R_3lzeKBOZqIExUsr,5/5/2020 10:51,polarization-2020CO,"1,4,5,6",lifesat,6.29,6.29,6.31,6.33,6.33,6.36,6.34,6.35,6.36,6.4,6.39,6.4,4,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_3lzeKBOZqIExUsr,5/5/2020 10:51,polarization-2020CO,"1,4,5,6",polar,84,85,86,84,85,83,82,81,83,81,82,82,5,4,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_3lzeKBOZqIExUsr,5/5/2020 10:51,polarization-2020CO,"1,4,5,6",iasian,0.6,0.7,0.65,0.63,0.65,0.65,0.6,0.55,0.57,0.55,0.53,0.55,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_3lzeKBOZqIExUsr,5/5/2020 10:51,polarization-2020CO,"1,4,5,6",easian,0.18,0.18,0.16,0.17,0.13,0.1,0.11,0.09,0.07,0.08,0.07,0.07,4,4,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_DAEDt5Ai3qF481z,5/5/2020 11:03,Seaside,"1,4",lifesat,6.3,6.25,6.2,6.15,6.15,6.15,6.15,6.15,6.2,6.25,6.3,6.35,5,9,1,2,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_1MSUHSwe1zPiuOQ,5/7/2020 15:04,CarrNCUSA,"1,3",lifesat,6.3,6.45,6.49,6.49,6.45,6.46,6.43,6.48,6.4,6.41,6.43,6.46,4,5,1,"1,4",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_1MSUHSwe1zPiuOQ,5/7/2020 15:04,CarrNCUSA,"1,3",ideolrep,41.3,40.6,40.59387,40.59382,40.59382,40.59382,40.59382,40.59382,40.59382,40.59382,40.59382,40.59382,5,5,1,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_1MSUHSwe1zPiuOQ,5/7/2020 15:04,CarrNCUSA,"1,3",ideoldem,48.7,48.5,48.53922,48.53153,48.53303,48.53274,48.5328,48.53278,48.53279,48.53279,48.53279,48.53279,5,5,1,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2WB8J6PdmAAQGbM,5/9/2020 9:07,Little Bear,4,polar,85,85,78,82,80,90,95,95,95,95,90,85,3,5,1,1,2,1,4,30000,40000,45000,60000,70000,75000,78000,80000,85000,90000,91000,95000,Intuition/Theory
R_2RWFd9H3z37Yqmb,5/9/2020 9:08,Foxtrot,4,polar,80,80,80,85,85,90,80,80,80,80,80,80,3,9,1,"1,2,5",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_3nJlV17e4so1J8U,5/10/2020 17:38,Old Chickens,"1,3,4,7",lifesat,6,6.1,6.2,6.3,6.4,6.45,6.491453324,6.496176655,6.50105743,6.505938205,6.510346647,6.515227422,2,2,2,"2,4",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_3nJlV17e4so1J8U,5/10/2020 17:38,Old Chickens,"1,3,4,7",ideolrep,38.14050106,38.29213901,38.43888541,38.94213668,40.02345615,40.73228184,42.28784731,40.1551006,39.33892999,39.49056794,39.62753124,39.77916919,4,9,1,"1,4",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_3nJlV17e4so1J8U,5/10/2020 17:38,Old Chickens,"1,3,4,7",ideoldem,43.60695583,43.69154537,43.77340621,44.52370772,46.37584803,47.88992008,48.05855248,47.25694823,46.39644324,45.69618755,44.82008803,44.5210686,4,9,1,"1,4",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_3nJlV17e4so1J8U,5/10/2020 17:38,Old Chickens,"1,3,4,7",polar,90.69249131,91.51557298,92.2724732,93.15053768,93.53956595,94.03108868,94.42002221,94.70431336,94.88517019,94.96699941,94.95717955,94.86568609,4,6,1,"1,4",0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_3nJlV17e4so1J8U,5/10/2020 17:38,Old Chickens,"1,3,4,7",iafric,0.373355437,0.384722647,0.382255259,0.366478951,0.341627945,0.315439308,0.293492555,0.282897204,0.285910606,0.302253593,0.324748983,0.351835968,2,1,2,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_2bWyfocCOaKkcNN,5/11/2020 23:32,Abracadabra,1,lifesat,6,6,6,6.1,6.2,6.2,6.1,6.3,6.3,6.2,6.3,6.4,5,6,1,"2,4",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_1feG7nZChYPoRsc,5/12/2020 15:29,Spartacus,"1,2,3,4",lifesat,5.9,6,6.05,6,6.04,6.09,6.1,6.01,6.05,6.06,6.07,6.1,4,2,2,"2,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_12L9npXg1YbCpY7,5/14/2020 6:12,Heather Shimmer,"5,7,9",iasian,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,0.384,5,2,2,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_12L9npXg1YbCpY7,5/14/2020 6:12,Heather Shimmer,"5,7,9",iafric,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,5,2,2,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_12L9npXg1YbCpY7,5/14/2020 6:12,Heather Shimmer,"5,7,9",igend,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,0.3604,5,2,2,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Data-Driven
R_37QXf00ixlpprj3,5/14/2020 8:14,BlackSwan,"1,2,3,4,5,6,7,8,9,10",lifesat,6.1,6.1,6.1,6.2,6.2,6.25,6.25,6.3,6.3,6.35,6.35,6.4,2,5,2,2,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_37QXf00ixlpprj3,5/14/2020 8:14,BlackSwan,"1,2,3,4,5,6,7,8,9,10",polar,85,83,86,84,86,85,83,82,84,81,84,82,1,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_37QXf00ixlpprj3,5/14/2020 8:14,BlackSwan,"1,2,3,4,5,6,7,8,9,10",iasian,0.39,0.41,0.36,0.39,0.41,0.36,0.39,0.41,0.36,0.39,0.41,0.36,2,5,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_37QXf00ixlpprj3,5/14/2020 8:14,BlackSwan,"1,2,3,4,5,6,7,8,9,10",easian,0.1,0.1,0.1,0.05,0.05,0,0.01,-0.05,0.02,-0.05,0.02,-0.02,1,5,2,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_37QXf00ixlpprj3,5/14/2020 8:14,BlackSwan,"1,2,3,4,5,6,7,8,9,10",iafric,0.33,0.31,0.33,0.31,0.33,0.31,0.33,0.31,0.33,0.31,0.33,0.31,1,5,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_37QXf00ixlpprj3,5/14/2020 8:14,BlackSwan,"1,2,3,4,5,6,7,8,9,10",eafric,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,-0.09,-0.11,1,5,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_37QXf00ixlpprj3,5/14/2020 8:14,BlackSwan,"1,2,3,4,5,6,7,8,9,10",igend,0.33,0.3,0.33,0.3,0.33,0.3,0.33,0.3,0.33,0.3,0.33,0.3,1,5,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_37QXf00ixlpprj3,5/14/2020 8:14,BlackSwan,"1,2,3,4,5,6,7,8,9,10",egend,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,0.8,0.9,1,5,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_2tOPX9BWjIhaOf7,5/14/2020 8:34,Duckling Power,"1,2",lifesat,6.4,6.3,6.35,6.25,6.3,6.2,6.15,6.2,6.25,6.3,6.35,6.4,3,5,2,"1,2",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_2tOPX9BWjIhaOf7,5/14/2020 8:34,Duckling Power,"1,2",posaffect,-0.776,-1.0627,-0.8861633,-1.076909,-1,-0.7907,-1.044,-1.29,-0.786,-0.847,-1.193,-0.948,3,2,2,"1,4",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2tOPX9BWjIhaOf7,5/14/2020 8:34,Duckling Power,"1,2",negaffect,1.1957,1.2797,1.1877,1.43,1.3361,1.1127,1.30558,1.4635,1.1627,1.1651,1.386,1.2933,3,2,2,"1,4",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_3QP87teUhx0shwJ,5/14/2020 10:12,Patrícia Arriaga,"1,2",lifesat,6.372,6.307,6.272,6.306,6.321,6.351,6.38,6.393,6.391,6.419,6.46,6.346,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",lifesat,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,6.36,2,2,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",posaffect,-0.973223079,-0.973223079,-0.973223079,-0.973223079,-0.973223079,-0.973223079,-0.973223079,-0.973223079,-0.973223079,-0.973223079,-0.973223079,-0.973223079,1,1,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",negaffect,0.973223079,0.973223079,0.973223079,0.973223079,0.973223079,0.973223079,0.973223079,0.973223079,0.973223079,0.973223079,0.973223079,0.973223079,1,1,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",polar,79.38547009,79.38547009,79.38547009,79.38547009,79.38547009,79.38547009,79.38547009,79.38547009,79.38547009,79.38547009,79.38547009,79.38547009,1,1,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",iasian,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,0.386282063,1,1,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",easian,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,1,1,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",iafric,0.31879554,0.31879554,0.31879554,0.31879554,0.31879554,0.31879554,0.31879554,0.31879554,0.31879554,0.31879554,0.31879554,0.31879554,1,1,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",eafric,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,-0.034874629,1,1,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",igend,0.365107699,0.365107699,0.365107699,0.365107699,0.365107699,0.365107699,0.365107699,0.365107699,0.365107699,0.365107699,0.365107699,0.365107699,1,1,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_2xRiOHuu4tmQ3k1,5/14/2020 13:10,Average Joes,"1,2,3,4,5,6,7,8,9,10",egend,0.836946065,0.836946065,0.836946065,0.836946065,0.836946065,0.836946065,0.836946065,0.836946065,0.836946065,0.836946065,0.836946065,0.836946065,1,1,2,"1,4",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed
R_22JrVlYufUZNS2h,5/15/2020 3:47,BlackSwanrevised,"2,3",posaffect,-1.5,-1.2,-0.9,-1.2,-0.9,-1.2,-0.9,-1.2,-0.9,-1.2,-0.9,-1.2,1,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
R_22JrVlYufUZNS2h,5/15/2020 3:47,BlackSwanrevised,"2,3",negaffect,1.5,1.2,0.9,1.2,0.9,1.2,0.9,1.2,0.9,1.2,0.9,1.2,1,1,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Intuition/Theory
